,collection_date,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collected_by,BioSampleModel,assembly,experiment_id,SRA_id,fasta_file,Sample
SRR28230525,2024-01-03,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230525,SRX23841872,,
SRR28230552,2024-01-02,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230552,SRX23841845,,
SRR28230289,2024-01-01,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230289,SRX23841567,,
SRR28230372,2023-12-31,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230372,SRX23841484,,
SRR28230165,2023-12-30,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230165,SRX23841691,,
SRR28230668,2023-12-30,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230668,SRX23841730,,
SRR28230428,2023-12-29,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230428,SRX23841427,,
SRR28230644,2023-12-21,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230644,SRX23841754,,
SRR28230651,2023-12-21,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230651,SRX23841747,,
SRR28230647,2023-12-20,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230647,SRX23841751,,
SRR28230645,2023-12-19,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230645,SRX23841753,,
SRR28230648,2023-12-19,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230648,SRX23841750,,
SRR28230652,2023-12-18,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230652,SRX23841746,,
SRR28230649,2023-12-18,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230649,SRX23841749,,
SRR28230650,2023-12-17,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230650,SRX23841748,,
SRR28230669,2023-12-15,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230669,SRX23841729,,
SRR28230662,2023-12-14,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230662,SRX23841736,,
SRR28230670,2023-12-13,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230670,SRX23841728,,
SRR28230664,2023-12-13,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230664,SRX23841734,,
SRR28230665,2023-12-12,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230665,SRX23841733,,
SRR28230663,2023-12-12,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230663,SRX23841735,,
SRR28230666,2023-12-11,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230666,SRX23841732,,
SRR28230680,2023-12-10,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230680,SRX23841718,,
SRR28230667,2023-12-10,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230667,SRX23841731,,
SRR28230681,2023-12-07,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230681,SRX23841717,,
SRR28230682,2023-12-06,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230682,SRX23841716,,
SRR28230144,2023-12-06,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230144,SRX23841712,,
SRR28230683,2023-12-05,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230683,SRX23841715,,
SRR28230145,2023-12-04,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230145,SRX23841711,,
SRR28230433,2023-12-04,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230433,SRX23841714,,
SRR28230143,2023-12-03,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230143,SRX23841713,,
SRR28230380,2023-12-03,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230380,SRX23841476,,
SRR28230382,2023-12-01,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230382,SRX23841474,,
SRR28230379,2023-11-30,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230379,SRX23841477,,
SRR28230384,2023-11-29,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230384,SRX23841472,,
SRR28230381,2023-11-29,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230381,SRX23841475,,
SRR28230151,2023-11-28,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230151,SRX23841705,,
SRR28230156,2023-11-28,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230156,SRX23841700,,
SRR28230385,2023-11-28,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230385,SRX23841471,,
SRR28230153,2023-11-27,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230153,SRX23841703,,
SRR28230155,2023-11-26,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230155,SRX23841701,,
SRR28230157,2023-11-24,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230157,SRX23841699,,
SRR28230152,2023-11-23,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230152,SRX23841704,,
SRR28230158,2023-11-22,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230158,SRX23841698,,
SRR28230169,2023-11-21,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230169,SRX23841687,,
SRR28230159,2023-11-21,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230159,SRX23841697,,
SRR28230173,2023-11-20,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230173,SRX23841683,,
SRR28230171,2023-11-20,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230171,SRX23841685,,
SRR28230172,2023-11-19,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230172,SRX23841684,,
SRR28230170,2023-11-19,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230170,SRX23841686,,
SRR28230174,2023-11-15,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230174,SRX23841542,,
SRR28230314,2023-11-15,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230314,SRX23841541,,
SRR28230316,2023-11-14,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230316,SRX23841539,,
SRR28230324,2023-11-14,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230324,SRX23841531,,
SRR28230323,2023-11-12,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230323,SRX23841532,,
SRR28230325,2023-11-09,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230325,SRX23841530,,
SRR28230329,2023-11-08,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230329,SRX23841526,,
SRR27344082,2023-11-07,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,,SARS-CoV-2: wastewater surveillance,,SRR27344082,SRX23020928,NC_045512_Hu-1.fasta,
SRR28230400,2023-11-07,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230400,SRX23841455,,
SRR28230398,2023-11-06,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230398,SRX23841457,,
SRR28230401,2023-11-06,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230401,SRX23841454,,
SRR28230399,2023-11-05,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230399,SRX23841456,,
SRR28230340,2023-11-05,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230340,SRX23841515,,
SRR28230341,2023-11-02,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230341,SRX23841458,,
SRR28230403,2023-11-01,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230403,SRX23841452,,
SRR28230402,2023-10-31,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230402,SRX23841453,,
SRR28230405,2023-10-31,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230405,SRX23841450,,
SRR28230407,2023-10-30,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230407,SRX23841448,,
SRR28230408,2023-10-29,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230408,SRX23841447,,
SRR28230409,2023-10-27,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230409,SRX23841446,,
SRR28230406,2023-10-26,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230406,SRX23841449,,
SRR28230410,2023-10-26,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230410,SRX23841445,,
SRR28230420,2023-10-25,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230420,SRX23841435,,
SRR28230431,2023-10-24,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230431,SRX23841965,,
SRR28230421,2023-10-24,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230421,SRX23841434,,
SRR28230434,2023-10-23,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230434,SRX23841963,,
SRR28230435,2023-10-22,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230435,SRX23841962,,
SRR28230436,2023-10-20,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230436,SRX23841682,,
SRR28230432,2023-10-19,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230432,SRX23841964,,
